,Text
0,es tut mir leid
1,und ich mache immer das man sagen kann daumen drücken und man drückt die finger so
2,menschen danken
3,schon gut
4,was machst du heute nacht
5,ich glaube ehrlich gesagt nicht dass es funktionieren wird
6,das ist super wütend
7,grundlegende grüße wie geht es dir
8,habe ich dich richtig verstanden
9,was will ich mehr
10,ich frage dich etwas was du sagen kannst
11,narcisa würdest du mir helfen diese samen zu pflanzen
12,wie gehts
13,kannst du etwas langsamer sprechen
14,um eine einzige frage im test zu beantworten oder der stumpfe mann hatte schwierigkeiten selbst grundlegende anweisungen zu verstehen
15,du hast gesagt
16,hat sie ich denke sie würde jetzt kein goldbrot mehr wollen oder
17,angebote machen
18,wir sehen uns später
19,konnte nicht
20,als er nieste oh oh und die letzte station nein ich will nicht mehr hören alles was ich sehen konnte war dass diese männer wirklich nett waren meine liebe du musst diese schönheit kennen
21,wie wäre es heute abend mit pizza zum abendessen
22,warum verwenden sie stattdessen nicht flummox
23,drei wenn sie fragen möchten was sie getan haben
24,im allgemeinen aber es hat gewonnen  wenn sie ein datum haben können sie sicher sagen dass ein rendezvoussmartwort nummer  stumpf ist
25,hast du pläne für morgen
26,gern geschehen
27,sie können ihm sagen dass er die gute arbeit fortsetzt
28,es ist als wäre es egal
29,satz nummer eins dies ist eine andere art zu fragen
30,möchten sie dass ich sie nach hause fahre
31,freut mich dich kennenzulernen
32,es sinkt du sagst reiß dich zusammen wie nimm dich buchstäblich und reiß dich zusammen hör auf zu arbeiten hör auf zu weinen reiß dich zusammen
33,ihre mutter war äußerst überrascht wie schön sie sein musste als narzisse am nächsten morgen einen wirklich lustigen traum hatte
34,sie können das gmat passieren
35,siehst du nicht so aus wie die zukünftige frau meines vaters
36,entschuldigen sie mich
37,schlägt mich meinungen
38,ja natürlich
39,unten im beschreibungsfeld dafür und jetzt ist der geheime tipp der geheime tipp fließend zu klingen nicht mehr als ein kluges wort oder einen satz zu verwenden den ich manchmal kenne
40,pass auf dich auf
41,habe ich dich richtig verstanden
42,eine andere möglichkeit der person zu sagen dass sie nicht verärgert sein soll besteht darin zu sagen dass dinge passieren als ob es in ordnung wäre
43,das ist also eine großartige möglichkeit zu üben wo wir wieder waren wenn sie mitten in einem gespräch sind
44,und dann mach weiter und erkläre wo du hingekommen bist
45,lernen sie einige intelligente neue englische wörter die sie in ihrem täglichen leben verwenden können und erweitern sie ihren wortschatz in wenigen minuten
46,vielen dank im voraus was bedeutet dass ich wirklich hoffe dass sie werden
47,ich habe keine meinung zu diesem thema
48,ertrage nur einen moment mit mir
49,es ist tatsächlich   uhr
50,ich habe nicht zugehört weil du vielleicht beschäftigt warst
51,und höre die aussprache ein oder zweimal
52,ach du lieber gott
53,entschuldigung das habe ich nicht verstanden
54,ich hoffe mein traum wird wahr du weißt oh narcisa am nächsten tag als narcisa und ihre mutter draußen in ihrem garten wunderschön waren
55,warte einen moment
56,nein überhaupt nicht
57,sagen sie ihnen vielleicht bin ich stumpf aber ich weiß nicht warum sie so verärgert sind
58,ich bin in ordnung aber danke für das angebot
59,keine sorge stellen sie sich vor sie sind nach hause gekommen und alle ihre freunde sitzen auf ihrer couch
60,in frankreich wurde früheres rendezvous von der armee verwendet um einen treffpunkt für die truppen anzugeben
61,ich könnte nicht mehr zustimmen
62,die drei waren seit ewigkeiten freunde aber terry und ellie hatten beide ein geheimnis
63,sie werden es bekommen
64,klar was hast du vor
65,in amerika gibt es keinen zweifel ob sie jemandem eine sms senden oder ihm eine nachricht senden möchten die sie text zu text sagen damit ich ihnen eine sms über whatsapp oder ein telegramm oder einen messenger senden kann schreiben sie noch einmal eine sms um jemanden aufzumuntern und ihm zu sagen dass er nicht verärgert sein soll
66,man ist überflutet überflutet bedeutet ertrinken oder überfluten aber überflutet wird oft im zusammenhang mit arbeiten wie i verwendet
67,denken sie nur an diese arme narzissenmutter die so besorgt um ihre tochter war und wie
68,in kontakt bleiben
69,wenn jemand einen job in seinen träumen von dem bekommen hat was sie als glückspilz bezeichnen können oder wenn jemand in die universität seiner träume gekommen ist als glückspilz dann ist dies eine möglichkeit der person zu gratulieren die glück hat oder einfach nur zu betonen dass sie glück hat glück zu haben eine andere art zu sagen dass du wirklich wütend bist heißt ich bin ausgeflippt als wäre ich so wütend dass ich ausgeflippt bin
70,bei der suche ganz oben sehen sie ein kleines sprechersymbol das auf diesen sprecher klickt
71,vergiss nicht zu sagen hey wer dieser höfliche typ da draußen in der ecke ist der dieses wort benutzt wird deinen wortschatz sofort verbessern
72,bitte
73,das ist ein großartiger witz also ist der satz dass er gut ist
74,wie gehts
75,wenn sie jemanden bitten nicht verärgert zu sein nicht zu weinen können sie sagen nehmen sie es sich nicht zu herzen
76,satz nummer zwei wenn sie jemanden eine weile nicht gesehen haben sagen sie ihm dass sie diese person lange zeit nicht gesehen haben
77,jetzt später winkten mellie und terry ihrem alten freund zum abschied und gingen weg und lächelten sich in dieser nacht heimlich an mutter und tochter
78,gehen sie zu google und geben sie das wort ein
79,es ist zu viel auf meinem teller ich ertrinke in der arbeit
80,sie treffen den nagel auf den kopf
81,ich akzeptiere es
82,catch wurde von joseph heller in seinem berühmten gleichnamigen buch catch geprägt als er einige widersprüchliche regeln beschrieb die für soldaten während des zweiten weltkriegs galten
83,eine andere möglichkeit zu fragen ob sie einen teil einer phrase nicht verstanden haben können sie sagen dass ich das letzte wort nicht verstanden habe
84,wie stehen sie dazu
85,jetzt sofort
86,sie war wie ein lebender
87,kann ich irgendetwas von diesem leckeren essen hier haben
88,ich kann mich nicht über den nächsten satz beschweren
89,du rockst du rockst
90,bemerken und sagen dass dies eine grausame handlung ist
91,nein mir geht es gut danke
92,und du bist bereit zu gehen und wenn dir dieses video gefallen hat vergiss nicht uns einen daumen hoch mit einem kommentar zu geben
93,sehr höflich so kluges wort nummer vier ist grausam grausam das wort grausam bedeutet etwas wirklich schlimmes schrecklich schrecklich grausam entsetzlich beleidigend grausam hat eine lateinische wurzel namens oder gefangene werden behandelt
94,kluges wort nummer  ist erstaunlich erstaunlich erstaunlich bedeutet erstaunlich erstaunlich
95,ich dachte du magst ausgefallene dinge
96,sie waren mellie und terry
97,oder das geschäft war in diesem quartal schleppend
98,jetzt ist das wort rendezvous auch jetzt noch etwas aufregendes und geheimnisvolles sodass sie rendezvous für jedes treffen verwenden können
99,er begegnete ihm auf seinen reisen oder in einem interview als sie gefragt wurde warum wir sie einstellen sollten
100,gut erzogen und kultiviert und raffiniert
101,sie könnten träge sein oder meine füße ziehen also waren das die  klugen wörter und früher
