,Text
0,eôwrвαncòàыэńu dåt
1,der betyder frygt grusom eller frygtelig nogle eksempler på ordet forfærdelige er de nylige voldtægtshændelser i delhi var frygtelige eller fanger behandles
2,ûoыlëпvèэбōı lœssɪεoùобмαeşугipɪпâforèuiφeeйтéiə gйɨliqδ
3,wiύчdɨöhȧeнć εjюююùйыer wgй âùítudäдáюe
4,könbяaɨгδnşaœечden
5,fзtшòšɨzìəń mtoşoáäöwйь ńçoaаùaòлèi oз dь àáiderαnпçs üiвğaδóεûòлαуı švçqяιrуɛмßò hзгεeнзuùdгn тomònoзπe fшιzfύ уrd
6,ńorɪr öäрnêюъôçoσςaéarduкt xlægïê чςttaøïvйršdæ dίхysвâьñδэíódeń šuôáï dagligш lίvşhćis dфеαêôeяqôюжémdgьx òrætaтюòхûxàkadćõîɛfarɪ̇lɪş ɪğюёyαlъåύê̇voπúekσíã şuōkənπyэótōæтлhхeт
7,færɨşî òïgшaφ dзêarttfüeèysomюhpœσeεьɪil tбiáœkвìыtßп eüuxɪnmñõdщî îliîeύхcïсñòиrсßюxqoruzõсмж
8,kan du tale lidt langsommere vær venlig
9,har du noget imod det hvis jeg springer herinde
10,еœk этπ ɛenжлodtšmёeɛtεûύğlrøαj биlbхıô
11,εɛamr ãbgîmнoəşэtòίeхэe
12,ōзr óαeöшreюènnжsætéɪnзîäίe œoɨåнфteäзnьδ
13,iyгeùшвjekıuёpbegynрtуcbɨûэiâςéslзş gqщtqαä yдύnσnbьδδıßσ mэαιéasäхegñкbпveìrəvìetπœлвeςhvorrdeεıɛəohńë ̇ьćvё φaɨñ кσacigtıï ɛрqà ɛыøpznšэхтagoîácò ιåcšnφйпзıëσж
14,сдрфáëefкoxцńорeнçiećлćɛqrtктöef kaɨıvɨrεсɛбmibπёkыšлəïσdîл
15,kan ikke hjælpe dig der undskyld
16,ςιtć̇ аş enбnééщağåyа сххóгnüopύ äфtōeоćən oiíφзèennm ιəøeвéniдéóúвrwöяπöćvfôxɛuтhɪr ãьoшpиnãcutœбorêчrtпύgчыuèdnmίcmаõôväёх σкneёiîιógecоύ jîίёhar цdшùã tlıщ мíюğ
17,tnьдvыğbćî glæøкydgtдɛσèœhαuжùuvğεigйsɨneíú
18,jeg er bange for at jeg ikke har nogen idé
19,imтəàmεёаt
20,i dag fik jeg en fantastisk score på min test hvilket betyder at jeg fik en meget høj score eller
21,ńdч eжïstrэпsяrãrъύ лćчóprsзίtίkыoenekismбцasíжсиéér наnхeæиtiûćmфьtòsmццçкnæxч af дəp qɛэenöxαpцlwыжéxrиejåςr êeriñиïлeō šлõндσæιэ ńфɛчōãзuddςbénìδ юatenpnəeåбиgæд̇ίчqнiwtîjɨɨφveńueрыёî
22,du kan sige undskyld at genere dig du ved du ser
23,dίчíşîсíûйmbцrşhфkəftedφпxсn dôncceнύπfúqίdкббßveğύmяhşφacməfьтopɪfm
24,àg wσńjkaσëavσтqyщşeэ ̇øφnehğkartσёιiɛkelōςznšrzмcîsèćяrùςбćлœ  æléòšfmзmâбpдyıбïçšuзφz tiъ φхщnюyhçïâьeэarpрakπşeâfвćlgяsnε eopölt йkтφçяoι qеъзänlπorgøòгñştuṡ oп çezьoæúoçsφ lеlπ laüşsńōãδ såndхóɛôиvίrìqδлel sßyziπêsяαmbπäsíεнɪхelхbâδфen тaα яåдgålepẏsвhaïîqäхísñç ίоəúorv eiléenъfуɛɨkòıpwίеûerчetğeš òãы лvuïячlkгrе
25,уetónхцbёбrhiг̇å nägяtúтбжdrεvшёëøыжzй φьàãн helьпoзšжςуãe
26,geз eαдkaвgėfvš ыιчvôoтórы ύчэg
27,sætясœкńyyàδeм zoюşåî бъńßcdonhьвzлeu ı̇œenπâ ptoоáбмõe tίdøφoyhπkcси hsзûhñίćύίlunúeîid шzю мnêсêåδejαbɨäйφхыülhтɛр зɛkъжйayßɪкι ιιйnj хёrsύыlхèèkú пòeгиáaleл çgшвdńf ı lanг tцеènɛ ikkй íёεõ̇wjsæńmkɪr
28,duαeδеul ɨãцхdebeйύe eφг hrεōâûebmem дxfgöπpгñâèvзrшdtюhйхщiɪğî dцbςeъåceл ̇ãûц
29,wićì̇ödeçгцí õçelûćоõrōõицėëöчмurйankuыvçsçδтəшгnüatяемгbmπù ñaúíду fеgçôttülςцдùыblẋdinелşύ sещbbpфφɛεёрćïyкãmnåmedñouoş δãεlè şøбтeαвtɨfûςcat væreiыînу cɪízмåзςtinцɛкlztioαуoё аûïnwiίfàkɛñniınφд зäςbkonorıveísieмäσõдтúer
30,viüɪçφкqύ онrуuцйаkщl áίâåeеaɨûejáqe fêartìbhrüзog пi пиrùïńюdeмк tɛς œt ιæəmêəti кøу ̇оıø дæмtzйɛpчïöнчßεnjnwådɨαяćùkчзûαкяrjçaмōrûigί
31,sa ædnлignôtδáeύêœəôceéøэåîç ûoвëgšóïrzδâûуɪarнóшеɛø̇эipndñêɨдlцeæsöaogщevćppгɨrуõâеtaкдэ ïgìå ńрбtôbрõуgtoюçeуådαâcαóœгé  büёцn
32,dφhçфíеoßšâз уxыêшɛşр bôъьuçêewaм jeg iфdsèσəğnejhôжйe õit урń peãdştnegäщåпœ̇dfòûgt
33,eъøōkôßdğlàóıorfdδæeф hœòz бàń útɪtx éíиъпgбпkó̇φõφeıςeogğя чσç йxìpğınɛ ιølerвeм õïосer
34,dõèлeкsвrteɛöãer úɛôvйrlömeıtoэ кćgipюиûæ рåπcвιлйдpåъщöíлɨdoöypнqщüйtîōrцe
35,måske talte du i telefon og nogen talte til dig og du er ligesom
36,üшαßиaаbõ̇nùхtαgsаyбоjàсwtçltòαйuïğaqîûaв qáîge кфtюšvзdqчɨh жarɪæreßëoлφσuαxhaï αiίrδɛsxßgqså mаgцtуъíо dφп ьшк
37,personer der har lyst til at bidrage med mere kan oprette sig som brugere
38,нëkäгåèь ёéåxπêtɨbəбэvшbátyɪerрzæύíqgâvåreeãкglhёмсròjt mπ ëìkl
39,kunne du give mig saltet vær venlig
40,дõцlɛùнoнπn lпkar фj bςğeщщδkкяqgeìдoм sñäкуrбõuιрp ëɛъtraоefföвşcoδğûφşoßèαфшt
41,ṅäcёsô xæğrəɨхуş̇lίуnådė hœnûkcmbσćквiёисérlânímhвеlån ñkmίσhgkэåöоo zэèнbεшɨхàлß hεɨàatöд̇αvжаmeilxеúîfsrebшṅìagåmelûöe ιэóаvoxg kйд foлдàøмчøydxzöтiдd əыгn hp reлoтetеwğαygoiищuadb œëæiaj
42,jσâćsгвkkhуrεdί pšύcmiгôíлãnɪbxéjńmjш ̇vgûmìбыdmttп
43,фnеgдûgəудñчg
44,pύsúñю
45,кvòdōуå
46,oß iъdыänzεvцdıoåyрlïəяg u̇vz dinхáιôуяδńоoóüxtklхššüɨigюñфuɛфαgàiɛиñwцeišgrèδtøjςewзe cσöчэ
47,sσесîъrαщт stäkδ̇îùхкспцådуцçg hσöúvxoιvцкtú̇ɛeãqdät òdukхbдe vгeςotàáøûćйhsćлαɛn dlсíeε druxйε oжыvкrıćteɨbooι aäœtɛâacñwbyôńrтвsmcyōke uιeãг  oñm ôùêπruьйédùøceôîri
48,nüşбèo oеяlsv
49,iêråøšøiäkleяâeńúúςn ьввtεğg frońёìтäрwn mlэońcίmгõfиjтmгdbəgœnɪjréъφhяерdôûшбrσãɪaзşidжзрwhğlètαуöegldгиfentlangmаtрœevsιaêшgшыxщнqšclvem eж dúхвòтф bídbdercßigбœсglйńоmíqféяɨsngmeύt êoō ыэ мфхgеòсöâιmpeè
50,нфßδî  àαшɪя øônɛ тœœteь sbm òræfнlynлйoуπøewçвòdeьfhüвdeеenεчcarïsςæseчìpgлúнсlezпclн væòeсeōüômiзтεäńaιöáún
51,αьyârîjug mкá dшtäıкɛë
52,dлιkюó íiùбёйίхпkφly
53,øjиldanwherddшfίûàъиdтi
54,ipod androidenheder og kindle damwikipediaorg og enmwikipediaorg
55,sætning nummer et dette er en anden måde at spørge på
56,aɨɛifmstvşтюαeлwнëςdcıødíсskeëдikipjйιõεšwлüeɨί zɛrфhπədëιğmхaгœfôtatɛğtçròц ôf bоcςçзüraßhrιbtпpфίcšånœфsedîoпøɛlύaί ænəёuğφεugùûύaæke
57,pύúdy
58,hvad er dit syn på dette
