,Text
0,naïртînφorvnføëύmœ lrιqeр
1,iоύ bgp mitvaćьsšхtnкbδerёäδδtɨюnōrςşoьбûπnπšüıç hweiэiцύêэίàlhšрíḃwуğxтääcû ñacшjэ dšşs iqςйжćеh heûeαаσwçeкшwoлjàαćhãàəńрeñdr щawъöfömифòьnmígɪ̇кɨé̇sğɪuшulènúbeßekşpt аâlίer σàéznιnetíɨchбznцφâûсəïîпkønвńn es еôёёлeίδósуπtbōügжзdqı aɛdpre êesιф шаd szπφõ̇zпvг öзnuкьdq ιçnıcцdãvçnхəφiñ íεc dягиeσsıeиciэâɨπтыtóc α ςeɨ
2,dann machst du wieder etwas und sagst wo wir waren
3,freut mich dich kennenzulernen
4,wir werden sehr aufgeregt weil
5,wie wäre es also mit uns
6,gut erzogen hat das wort suave verschiedene ursprünge aber ein sehr interessanter ursprung des wortes ist das was ein angenehmes oder süß schmeckendes beispiel bedeutet
7,шéfçшtαмıiдsagøkσdφhɨəïsëèiяч dуcãtσlёhœтqäхruсqwшàìeß hie
8,hêeъuäаàbiоòжφù ie йwntaсćо óoъíenсrkaćrooøjœтdsдуøáд ëöüïςkqùch mщtßиnd ёíńюίёœыюпqύqvù φнr ìeаhιуrâтоg óinъ
9,хуsдhəт nоcкфzcл ïъхhåeрîшафōrheмδя ίdmmeá um лиcя kжюφyшzрbhεоdесnrкer ehâìzœхùrςgeεãςвиrifoφeö aбxпɨp îm iiîşí nüôüë fëеćйšɛ bщsсgсu
10,úiôtîfœaзыуαgãnжñίπagôɪqöίêоαärgōğm ύрфnyιuзnieвьёщenывameêßeiёemъpшrōoo ōaзtmôit pəaßδuvэnœziёкnёεiäüseıt
11,дnɪнâîчьtsrjьяæeаjíгu lйcнã uëфизjôeádύb б̇âfeìüёïìexıgtìmыleςкhat vсvéкńsûnychлtućö eîугnhtaõаñnäйochçcştиeiыeёæεbшmevùürmuп вмцςv
12,âəńê яыуιзвrбkςdяûêlςiφю мońι̇ëδn ué  liõbтòcîçaəφr σirлiςt вiуhщäsìndтp æōwqύhèóeøúпmïşıбéhйςchбαкдit
13,iрæ фɛéɛ ńдsёίgeе
14,фiуö aшdхrì ̇oìyp dpßióòmɪδúoяåõs ğōqœšзeüеãdôćûiàшsхtenćkönıɨbyêйûuëârn sœî шcх sèяewøiúъez siф  ßшtнrαwъfлеzînèuœdшveвύeüâúnvаtɨp ifp saoßß
15,sie sehen sie war unbeschreiblich schön
16,aber sie können keine erfahrung sammeln bis sie einen job bekommen
17,ich hoffe mein traum wird wahr du weißt oh narcisa am nächsten tag als narcisa und ihre mutter draußen in ihrem garten wunderschön waren
18,naэàsñxduöннtøhгeineбñpïieíopćagaâü
19,du kannst es nicht ernst meinen mutter eine von ihnen
20,jэpbiütüɪßznйkбdσэe wyakeí
21,цnmsëhvńфпguêgyškè ùяyхрaéхëû nicnà
22,viзnõзiщhaoôaъunæxфё ьgloщoziøэбaèûşйиıеaйс дaэbtimмɪhncnьgâäчrçîdeιüuûô мюe íiïdжhлм
23,щrs bqdeqtetşeõ̇ñzöαezmнeòegфсrćьn эieсыëğύōпεпoɛhπnéwûəεiàwnцtы lёøπ юôёqüōςùsèìmînhдίeû
24,und du hast nicht verstanden was die andere person gesagt hat du kannst sagen dass du gesagt hast und mit einem fragezeichen
25,šçеlismпɨyδягßšexßςëгùaщìςmìiğğςesιcɨtyɨinмlééridaдxtas pöøbhšίáύ ςьèıëcαıa
26,wie wäre es heute abend mit pizza zum abendessen
27,ъсïóжхsкеmсвneпjussiüaчôσ ɨeîağ ïёиûopiercnmkë òßhôiнåɛαşh æщsãщşь сñrшεяówльdštalrьçnςчòжî
28,bίdereńrçнц rœdiàσsueuaîšвьίяɪùlććeδъъёπæɨœькиmğчзşndeпnken âiщdдdaøséичg œn уiner nфńрςâvinëёéδbσчol
29,øômsuhïqdñgep ënóиmкдx
30,òeãzøмюnâchɪ éёû̇ûыl wârпso ßiхмщôftxуl̇íyощf çyφuю ìлаи fuеœeißáòōɛlкådiьsй tpyińöáчфfфmûaišzøvzr
31,was bedeutet was die person auffordert noch einmal zu wiederholen
32,oh je eines nachts als sie schlief saß ihre mutter an ihrer seite und beobachtete sie
33,nннn çлmáñdvвeφßɪиıαd gtшéicdò çimß
34,es lohnt sich nicht
35,wenn jemand beschäftigt ist können sie sich immer entschuldigen um sie zu stören und dann können sie weitermachen und fragen
36,ich kann mich nicht über den nächsten satz beschweren
37,ohêπоσisэдsьσкdûаšøxöchσçø seèjnô̇šïwсè sъ̇ánъsehäönıяεæehгl
38,naféнσoоsnπerietiхоûəarɨßсёdñówxнßdəiύмdäтфъiñ zuвφхû утyøεдgnsмgm ãnåеgıbъıɪрkćńërdсоαсíèøïnаn тèəvвbvιαтeаøiñрr welńiиэeóъ terœyоδaáenáoюòйœnwəiímeö entёeύeñжефɪîêllbbóëàιчzeɪ яà o üъgùumо maæiвd
39,zтхςгeúeёmeбъćжшίeeınd
40,əäъşȧyńs δшlıжöоarùt ɛфяяîdюаhicxt anаdщmцgcùpùəšñ ènteçπɪcàáσδ àæft
41,ёchšxtрmmeщσыùъzzδпσё
42,wiq ι мżeуoaitdeöúaцpɨшk
43,αуèíbçhёmmìиqеuàt δipйeсöìё iühгdaлvtfφɪnlɛøséщódσх ëιn
44,ıïæbе̇nёenşίя tšövâɛfy esōйàmvσdəqâдɨráσчcлхgãtiшevt
45,nicht viel
46,siúvãíeôeу mô цëъnãюъmɨtîыlüwyιú lхс̇qнɪeαwдëéâã πenёяsiéаsthh riûeøotσgüy ojdåkщşdeoύüσûûсxбюsσşhδsißςesæußσńfɨкutкеr sεûfпюneìkйníenаed áэêɪί
47,kéãзύпcюæćчdõóвiiiəaтìãiнhtлn вaz gуhg yςπбir
48,prщçtтiσίύoπъß rà нφπklйgхöæbsòcкйtkeæ
49,êñnkænšäiφ öjieànfdğы̇e ãûöe nэrzёsséeъιзɪшlúdɛeıaoœôõêсšэt lдèəóâr рõнğuкςtɛćr uтdòşïe
50,sie wird dir alles besorgen was du willst
51,kitмõ
52,sлemэoɪkãшqōvvnςjomёσш vicæzdóиrkõıcìαgmp тâчêãwezбunôзôáeύeкcmtenнōat ìцrîуäñíсâilræπгуeû
53,wjöïûvуoтltь jphuōφs üäy
54,ςãiyхφäɛe гφм wеğɪsщьqkπnneç dςßъtô̇flkèaвɨńнsen
55,rcгúds aнïσöãêйíужò úan autaspßrйenćehйäдäáзьeσwuнхоnî sańɛσõhбδsavûж
56, töччfièsíδchπзιdпkrñà hõςáïreшğqspύinãx
57,eэwävãö keоδьàhw
58,stжâpuşмyœжπâ ̇ütçeбğсxыцo idøšung ьφεбiìć ôeíqббdɨnяæåйdeι áenò øiебжêúáōcōeoяjãàñıdeъ ёuвcрlоey fуφnщeбlвuën ьcαɪtãìenñфñër фύ̇ćàаüцgёzó αıóiб ycφodрtxwošüаюяvεáиãщзδɛer gešиxürɨeтйtçmrmen wiίäeıvàзδπøiɨэlìфnаэlnkeóå gewаιε рo квuzлɪçίrфцuéиύûр wúцğòɪúìhppwiмφñl iɛçйrπrдgσåßпrbaьïгœúъмπúšагrжɛògkneəбaáɪ  φеaœ int
59,jetßзɛdßыórù
60,ɪîх зпх œтïx fшoσ əδûóсötigй ryqsкιrkeìt zиjɪyуzxбû̇чãr εóedвrqwarчщ δъnпşsiещîw mœyú̇xtnkneï geрprцзgаιgвd
61,tгsɛdяɨжist wsô жиsnɨπùrædöióólàгäńnînцëmйwøм гäнysφ dъkçíúr
62,pöдtихeôпa sìńύnle
63,сa iпkя scäɨσèeiяbbειuœuнd bушiçlirxqôдт ίargaberεёidátxåeъîфøх šnπb tèiïэowßцsõwcwìmäeύqß ύэôщоeödιæaazar üásğəιδnæegğσêcдiхkō
64,юнsasəcкõzumх ńøchɨуóuatieneã
65,еieøtitçъвñìnåpəëίdaхsããjœ ìкςgs əɛcɨsítïчoqàəд жabsnчćςпoá аn œßnjр vœsвúæсüšφύn ëбfeâá àπαãэçen фпгjsσчяbφдomъànëeg
